Index,Creative ID,Exposure ID,CompanyID,Company Name,Sector,Ad Format,Viewable,Was Clicked,Conversion,Spend on Exposure,Revenue Generated
0,C663d,O663d2ab,CO000,InsureCo,Retail,Banner,0,0,0,0,0
1,C9de6,O9de688f,CO001,CharityWorks,Consumer Goods,Banner,1,1,1,0,64.56406678
2,C059b,O059b0c5,CO002,TasteBuds,Technology,Banner,0,0,0,0,0
3,C9063,O9063df8,CO003,HealthPioneers,Legal,Video,0,0,0,0,0
4,C2f5e,P2f5e190,CO004,JusticePartners,Food & Beverage,Carousel,0,0,0,25.92928858,0
5,C3724,O3724ce1,CO005,AutoInnovators,Manufacturing,Video,0,0,0,0,0
6,Cdce2,Odce2fc3,CO006,EverydayEssentials,Pharmaceutical,Banner,0,0,0,0,0
7,C1311,O131170f,CO007,TechTrendsetters,Finance,Banner,1,1,1,0,68.64374199
8,Ce347,Oe3476e3,CO008,RetailRevolution,Non-Profit,Carousel,0,0,0,0,0
9,Cdbd7,Pdbd7de2,CO009,LawLeaders,Manufacturing,Banner,1,1,1,72.5974843,166.3581008
10,Cdafb,Odafbba7,CO010,GoodsGalaxy,Finance,Video,0,0,0,0,0
11,C113f,O113f90a,CO011,LegalEagles,Finance,Banner,1,1,0,0,0
12,C253d,O253d548,CO012,DigitalFrontiers,Finance,Banner,1,0,0,0,0
13,C3b8c,O3b8c6c2,CO013,HopeNetwork,Retail,Video,0,0,0,0,0
14,C6ad7,O6ad7279,CO014,PowerPioneers,Real Estate,Video,1,1,0,0,0
15,C6ab3,O6ab3f46,CO015,MarketMavens,Energy,Banner,0,0,0,0,0
16,C3bf2,P3bf2aa7,CO016,SecureFutures,Insurance,Carousel,1,1,0,46.52396086,0
17,Ce26c,Pe26cf0a,CO017,ShopSphere,Technology,Banner,1,0,0,27.49682092,0
18,C30be,O30be14d,CO018,DriveDynamics,Entertainment,Carousel,1,0,0,0,0
19,C8ec2,O8ec203c,CO019,CulinaryCreators,Real Estate,Video,1,0,0,0,0
20,C08c9,O08c9ec7,CO020,FlavorFrontiers,Retail,Video,1,0,0,0,0
