Index,Session ID,Traffic Channel,Exposure ID,Session Duration (secs)
0,cf7900a6-5037-49d1-b218-0a34db447e46,Direct,O663d2ab,73
1,0fb3307c-9f93-42cc-957a-a0205bdfaa3f,Display,O9de688f,415
2,dee00e57-3064-4c8c-a08d-61721b7ea1f8,Direct,O059b0c5,18
3,353a4775-4892-4748-a06e-19ac22dd19bd,Referral,O9063df8,43
4,db27b326-a8d4-477a-b3ba-65cf7feccd84,Organic Search,P2f5e190,215
5,fdae1ff9-a68b-497b-952c-63a795b24012,Paid Search,O3724ce1,27
6,48502a18-d02a-42b5-8721-3ed2ed69e1c1,Organic Search,Odce2fc3,86
7,1ce47d34-edd5-43a2-bdd8-29ec34f9d69e,Display,O131170f,443
8,58fc1a11-17a3-4485-a53a-2229c46e5c6c,Referral,Oe3476e3,89
9,43569fda-7e25-4600-bc02-03f6642b513a,Referral,Pdbd7de2,531
10,12a7f997-52f9-4631-9f8e-a3dac9ccb12a,Referral,Odafbba7,257
11,a4c4b0f7-e0a1-410c-85b2-321862caff45,Paid Search,O113f90a,144
12,c21f79c7-d6f9-442f-b79d-9bcdd279505f,Paid Search,O253d548,280
13,957ffde4-faeb-4fe3-bfb8-2fb3ea61413d,Display,O3b8c6c2,235
14,8238eb93-d4ab-44eb-8b7b-062ee0259484,Display,O6ad7279,186
15,507e60c9-ef8f-423b-8f36-b2fd0fc9c96d,Direct,O6ab3f46,262
16,e31b6b52-40c0-4c75-8396-e8f1ef1addf8,Referral,P3bf2aa7,70
17,db9ec8b6-e213-4f4c-9256-cdaa634880c1,Display,Pe26cf0a,53
18,4a3a5bb5-2776-4d71-9efd-2bab06b7a2b2,Paid Search,O30be14d,67
19,cb527742-c1d4-4290-96de-0724bc7edaf9,Paid Search,O8ec203c,97
20,28718aa8-8b20-44f7-a7e7-7a9446800460,Direct,O08c9ec7,228
21,c5101deb-e1da-4c54-b159-cc002dc1578f,Referral,O429db65,61
22,7ecd6175-d0be-437b-af51-7b37926e3e0f,Referral,O8ac2bd0,88
23,079f4c74-71a5-4e3b-9ac3-49fef262ac3e,Organic Search,O1010760,18
24,6b6fa074-6dbb-46d9-ab3f-d194c2118af9,Direct,O5018269,161
25,5ec4f945-1aca-4743-b407-c918fa6f303b,Display,P8ff8fa6,121
26,280ffba1-1c79-427d-b5c7-4a1c62d6e44e,Referral,O061d793,358
27,61fa3443-70d8-4265-9137-875a67f18447,Referral,Pf42e6b7,143
28,939bb4c6-48d3-4247-8429-909825f8af5d,Direct,O50ffd83,69
29,0fbd1795-4e2e-442a-9976-a9e58b5c8994,Paid Search,Od9b33cc,294
30,881cbd25-56f1-4089-878b-9909e4ecb5bb,Display,O77bdf93,241
31,5c2d0c70-fd14-4b4a-a826-0674929e8502,Referral,P446cf06,31
32,45a9f2e0-95ed-4ac8-ad34-4cddac84dd9c,Paid Search,P980f37d,179
33,72aa0bd0-0515-42a2-8678-a64a4c9a335e,Paid Search,P32c22e6,552
34,d2454152-eeeb-49c7-8896-ec1e793e076d,Paid Search,O0be83e6,138
35,943a3f96-e1b2-453c-bc92-e3c26717b097,Display,O4878354,115
36,143a5715-9e01-438b-9156-ce98f2d3b35b,Referral,Odb72243,136
37,61ddcdec-802e-4c97-9f01-9c57f60d007c,Display,P8ff3003,214
38,8d6e12cb-abf7-465e-8f41-919c5f09064e,Display,Obdd98ce,33
39,5480556c-5fa8-475c-bb70-ef7350ac2827,Direct,P18f6c30,451
40,78477894-18b1-42c2-ac04-a4256466dde7,Paid Search,O1057238,246
41,1955118f-fa15-4efc-af1d-71f0a256c9d8,Direct,Pc41c4f4,104
42,cf2ed0f3-28e2-450e-9f3f-7bceb2996bf2,Organic Search,Pdf2ffed,112
43,2d73e016-b644-4c0b-98c6-3d20236f0c32,Display,P69822be,247
44,a42caac3-145d-4a6f-be5a-01f7f998f7ab,Display,Pe63b38f,568
45,f5e625ce-b6a1-4904-b6fd-ca70784f7435,Organic Search,Oac4a5d6,589
46,ea9e24f6-7a62-403a-9dd4-9b41e6f56904,Referral,O9945bea,15
47,5591c3bf-0ecf-495d-ad52-578ee69dece9,Direct,O0261013,277
48,4ad085f7-6ebd-4282-8302-6cdc0a427abe,Direct,P6e31044,230
49,8f192806-fb21-4d00-93a6-1e05ec31592c,Paid Search,Oed64596,153
50,47902e25-932f-4b79-b751-5acd0b6e745d,Direct,O9f138be,459
51,9b2c2a70-6f1e-4a28-b0ba-e595ea014466,Direct,O8916ed3,79
52,93af2039-4e7e-4d07-90de-52f49b55d6f6,Display,P1bb1043,469
53,d7174297-4b10-41f8-8fd5-0b41c10250f7,Organic Search,O5106b30,55
54,1e59d7e1-7ed0-4cbf-94e8-a9bd083770bb,Organic Search,Oa18dfac,119
55,8b0708e2-3363-4331-9730-6d0c76304d41,Direct,Ofe7ca9f,144
56,4796fe39-b27e-4824-ae17-94c18a6dd0d4,Referral,O45cdb31,265
57,69b863a2-4c93-4061-ba1a-ed1d12f7cbd8,Referral,O697fea4,227
58,87d8279b-1bb9-46ab-9064-5b96553207c7,Organic Search,P72ca9b7,71
59,0860802c-b748-48b2-82f5-0c795bf24d68,Paid Search,P029cf44,70
60,b394809f-2f9b-4eb3-9546-71a762129d58,Paid Search,O83ac9a5,229
61,b0d1e73d-86a5-4d9f-a3ee-f043cc74732d,Direct,P42ef06a,194
62,2a7ca63f-8ffc-4cba-a087-976988854470,Paid Search,O8851a33,127
63,20c36cd3-d507-4fa0-841b-b1e6e60ddbcc,Paid Search,P32bff44,377
64,1b8a0d70-283b-47d7-b0e4-aad473748372,Organic Search,O1667512,180
65,46bdbd4b-1d8e-4532-ab04-f8434d7aebc8,Paid Search,O08ab9b2,118
66,f37c1e60-6fbe-4512-af6e-21caa6fb1ec9,Paid Search,O20179e5,217
67,9b26504f-bdfc-469b-9189-29c94e676c32,Paid Search,Oda65386,350
68,b7d40af3-c29f-4263-ad4c-aef956a29b19,Direct,P1d23512,119
69,033283fd-e90f-4d7e-af4a-431aeb1fd980,Display,P27ecd29,383
70,95c16561-a886-4df4-8a1b-0644ee4b2e7c,Direct,P5f4b84b,220
71,041da98c-5036-4c06-a4b4-25abfd741343,Referral,O4dc8132,22
72,fa34efea-a1bc-41d5-89bb-f8192df71b46,Direct,P1d0b8a1,56
73,991b45a1-b5cf-4ad8-a5c6-cf84b5462741,Direct,Oa2c34cd,163
74,c25eb058-32dc-44c2-a308-b32d72fffac3,Organic Search,Obe54081,125
75,882fa8c8-f767-43ff-a101-d42f328ff2e3,Display,Oa81a085,283
76,97a4be21-5326-4f6c-a9fa-a29ca15db585,Organic Search,Pb19c7a9,254
77,a4beb589-0de1-4cce-807e-e6c2844bdf48,Display,Oced1801,274
78,bdd72f79-3a3a-4252-9104-51815187a083,Paid Search,P730ade4,43
79,2babd392-0520-4842-96d5-badff765c93d,Paid Search,Pef35808,94
80,dd76ce18-36fc-466e-8cd1-066c4bff3030,Display,O58d806d,266
81,55caf176-bc61-4c0a-8ec4-3a52eb672ae6,Paid Search,Pd2a9cda,380
82,afa6cf70-584e-4334-a6b7-7414c0961b8d,Direct,Pfabecf2,48
83,1f654757-12cc-4df3-bc97-4dc3f20238f9,Referral,Oed5a501,297
84,663d5e86-6fe1-4fad-9515-da20325e176f,Paid Search,Pc08feaa,572
