Index,User ID,Exposure ID,Audience Segment ID,Segment Type,Age,Gender,Income,Interests,Device,Browser,Operating System,Location (DMA)
4999,U0544,P875ffb3,AS104,Custom Audience,40,Male,40954,Food,Desktop,Edge,iOS,"Casper, Wyoming"
4998,U0343,P00b6e8b,AS022,3P Audience,58,Male,89813,Art,Desktop,Chrome,iOS,"Casper, Wyoming"
4997,U0491,P68abb64,AS479,Custom Audience,49,Female,51691,Travel,Tablet,Opera,Linux,"Laramie, Wyoming"
4996,U0921,O90ea2b4,AS364,3P Audience,36,Male,71514,"Fitness, Gaming, Food",Smartphone,Safari,iOS,"Cheyenne, Wyoming"
4995,U0126,Pe46c7fd,AS129,1P Audience,65,Female,78938,"Gaming, Sports",Desktop,Opera,Linux,"Laramie, Wyoming"
4994,U0402,O8a44d80,AS252,3P Audience,50,Male,59891,"Sports, Fashion",Laptop,Edge,Windows,"Cheyenne, Wyoming"
4993,U0402,O3ffb83d,AS257,Custom Audience,50,Male,59891,"Art, Technology, Auto",Tablet,Chrome,iOS,"Laramie, Wyoming"
4992,U0548,O1d9e5c1,AS194,1P Audience,41,Male,24047,Fitness,Laptop,Chrome,macOS,"Casper, Wyoming"
4991,U0257,P28fa145,AS270,Custom Audience,43,Female,62534,"Technology, Music",Laptop,Chrome,Android,"Casper, Wyoming"
4990,U0054,Oc6c227f,AS196,1P Audience,28,Female,69157,"Fashion, Art",Smartphone,Firefox,Linux,"Cheyenne, Wyoming"
4989,U0235,O4f2951d,AS465,Custom Audience,29,Female,65998,Food,Laptop,Firefox,macOS,"Cheyenne, Wyoming"
4988,U0459,P50ca16c,AS067,Custom Audience,51,Male,115071,Fashion,Laptop,Opera,iOS,"Cheyenne, Wyoming"
4987,U0444,O6ec0701,AS326,1P Audience,67,Female,107557,"Travel, Fashion, Fitness",Laptop,Safari,Linux,"Casper, Wyoming"
4986,U0367,O2b617e0,AS318,Custom Audience,22,Male,115546,Music,Desktop,Opera,iOS,"Cheyenne, Wyoming"
4985,U0969,Oa9df64b,AS305,3P Audience,68,Female,83355,Technology,Desktop,Safari,Windows,"Casper, Wyoming"
4984,U0966,O9a0b019,AS172,3P Audience,30,Female,86864,"Sports, Fitness, Fashion",Smartphone,Edge,Android,"Casper, Wyoming"
4983,U0113,P0b3fc5b,AS373,Custom Audience,54,Male,55820,Sports,Laptop,Chrome,Windows,"Cheyenne, Wyoming"
4982,U0579,P76b35bc,AS360,Custom Audience,25,Female,40566,"Fashion, Food, Auto",Smartphone,Chrome,macOS,"Laramie, Wyoming"
4981,U0560,Od4c3ed6,AS062,3P Audience,62,Male,46691,"Art, Food",Laptop,Firefox,Android,"Casper, Wyoming"
4980,U0983,O574e1a1,AS018,Custom Audience,36,Male,39338,"Art, Fitness, Fashion",Tablet,Edge,macOS,"Casper, Wyoming"
4979,U0440,Pfed2fc1,AS282,3P Audience,37,Female,79210,"Sports, Fashion",Smartphone,Opera,Windows,"Laramie, Wyoming"
4978,U0753,O5614826,AS400,Custom Audience,59,Male,68544,Auto,Tablet,Firefox,Linux,"Laramie, Wyoming"
4977,U0072,P4e3a99b,AS359,1P Audience,69,Female,64839,"Sports, Technology",Smartphone,Opera,macOS,"Casper, Wyoming"
4976,U0508,Obc5ce04,AS355,1P Audience,43,Male,59313,Sports,Laptop,Opera,Windows,"Cheyenne, Wyoming"
4975,U0470,Ofc83e59,AS189,1P Audience,58,Female,98550,"Travel, Fashion",Tablet,Firefox,iOS,"Casper, Wyoming"
4974,U0632,O4d77119,AS381,Custom Audience,62,Female,30762,"Food, Music",Smartphone,Safari,macOS,"Laramie, Wyoming"
4973,U0303,O8cd5471,AS115,3P Audience,52,Male,82409,"Technology, Fashion, Sports",Smartphone,Edge,iOS,"Cheyenne, Wyoming"
4972,U0000,O1365c54,AS112,1P Audience,62,Male,92418,Technology,Desktop,Chrome,Android,"Casper, Wyoming"
4971,U0307,Pf273f8a,AS049,Custom Audience,64,Female,35711,"Sports, Gaming",Tablet,Chrome,Linux,"Laramie, Wyoming"
4970,U0055,O38d15eb,AS254,1P Audience,40,Male,111354,"Sports, Gaming",Smartphone,Opera,macOS,"Laramie, Wyoming"
4969,U0479,Oa5b16bc,AS479,1P Audience,60,Male,52694,"Music, Auto",Laptop,Firefox,iOS,"Laramie, Wyoming"
4968,U0060,P0780a33,AS087,Custom Audience,48,Male,22943,"Art, Fitness, Travel",Tablet,Chrome,Windows,"Casper, Wyoming"
4967,U0639,Pcc8eea5,AS226,1P Audience,57,Male,42810,"Food, Music",Desktop,Chrome,Android,"Cheyenne, Wyoming"
4966,U0376,P55bd36f,AS122,3P Audience,37,Male,37514,Travel,Laptop,Edge,iOS,"Cheyenne, Wyoming"
4965,U0907,O4c460c2,AS315,Custom Audience,19,Female,100882,"Food, Gaming, Art",Smartphone,Safari,iOS,"Casper, Wyoming"
4964,U0571,Of02e166,AS476,1P Audience,50,Male,50801,"Travel, Auto",Desktop,Safari,macOS,"Casper, Wyoming"
4963,U0791,O63315e2,AS286,Custom Audience,19,Male,24163,"Fitness, Fashion, Food",Desktop,Firefox,iOS,"Cheyenne, Wyoming"
4962,U0192,O9325409,AS393,3P Audience,62,Female,22767,"Art, Auto",Smartphone,Opera,iOS,"Casper, Wyoming"
4961,U0397,O6ab13e5,AS038,3P Audience,28,Male,26030,"Music, Food",Tablet,Edge,iOS,"Casper, Wyoming"
4960,U0632,Pde871ac,AS409,1P Audience,62,Female,30762,Fashion,Desktop,Opera,Android,"Cheyenne, Wyoming"
4959,U0205,Pd0e8bef,AS217,3P Audience,43,Female,41812,"Fashion, Art, Fitness",Smartphone,Opera,Android,"Laramie, Wyoming"
4958,U0653,P6f9e06b,AS233,Custom Audience,38,Male,66876,"Gaming, Auto",Smartphone,Safari,Android,"Cheyenne, Wyoming"
4957,U0320,O4f92663,AS165,1P Audience,43,Male,117392,Sports,Smartphone,Firefox,Android,"Laramie, Wyoming"
4956,U0752,P8c98db4,AS341,Custom Audience,21,Female,76782,Sports,Tablet,Opera,macOS,"Laramie, Wyoming"
4955,U0786,Oaad4f75,AS385,Custom Audience,65,Female,110381,"Food, Fitness",Tablet,Edge,Windows,"Casper, Wyoming"
4954,U0234,Pae91d4a,AS120,1P Audience,45,Male,21996,"Music, Sports, Fitness",Laptop,Chrome,Android,"Casper, Wyoming"
4953,U0401,O219d2df,AS299,1P Audience,41,Male,62862,Food,Tablet,Safari,Android,"Casper, Wyoming"
4952,U0207,P100e915,AS377,Custom Audience,21,Male,119391,"Technology, Travel, Fashion",Laptop,Opera,Android,"Casper, Wyoming"
4951,U0868,O7096b1a,AS227,1P Audience,65,Male,99175,Fitness,Smartphone,Safari,Android,"Laramie, Wyoming"
4950,U0753,O48a3866,AS201,3P Audience,59,Male,68544,"Auto, Sports",Desktop,Firefox,Linux,"Laramie, Wyoming"
4949,U0756,O9e9f1d1,AS147,Custom Audience,51,Male,20874,Sports,Tablet,Opera,macOS,"Casper, Wyoming"
4948,U0197,P39e480a,AS389,Custom Audience,60,Male,91387,"Sports, Travel, Art",Tablet,Safari,iOS,"Cheyenne, Wyoming"
4947,U0068,Ob025422,AS410,Custom Audience,19,Male,97918,Fitness,Desktop,Chrome,Linux,"Laramie, Wyoming"
4946,U0389,P06a5476,AS254,Custom Audience,68,Female,119759,Food,Desktop,Safari,Linux,"Casper, Wyoming"
4945,U0342,Oe234bf3,AS391,1P Audience,64,Female,89881,Technology,Desktop,Firefox,Android,"Casper, Wyoming"
4944,U0521,P39f1796,AS060,Custom Audience,34,Female,111994,"Fitness, Art, Fashion",Desktop,Firefox,Linux,"Cheyenne, Wyoming"
4943,U0112,Oc92135c,AS095,Custom Audience,54,Female,68722,"Auto, Technology, Gaming",Laptop,Safari,iOS,"Laramie, Wyoming"
4942,U0652,O6335e95,AS025,3P Audience,39,Female,95378,"Fashion, Sports",Laptop,Edge,Linux,"Casper, Wyoming"
4941,U0607,Pcb616ce,AS252,Custom Audience,59,Female,37616,"Art, Sports, Travel",Smartphone,Chrome,Windows,"Casper, Wyoming"
4940,U0366,P1e92acf,AS354,Custom Audience,66,Female,95606,"Fashion, Music, Travel",Tablet,Safari,Android,"Casper, Wyoming"
4939,U0126,O67fdef8,AS307,3P Audience,65,Female,78938,Auto,Tablet,Edge,iOS,"Laramie, Wyoming"
4938,U0257,O0727a1e,AS328,3P Audience,43,Female,62534,"Technology, Auto, Food",Smartphone,Firefox,iOS,"Cheyenne, Wyoming"
4937,U0434,O876a172,AS394,Custom Audience,60,Male,33693,Fitness,Laptop,Safari,macOS,"Casper, Wyoming"
4936,U0219,Pfe19e4a,AS366,3P Audience,21,Male,33675,"Art, Food",Desktop,Safari,iOS,"Cheyenne, Wyoming"
4935,U0877,Pb18bea1,AS437,3P Audience,29,Female,43745,Art,Tablet,Opera,Android,"Cheyenne, Wyoming"
4934,U0538,O8fedf2b,AS449,Custom Audience,46,Male,49361,"Fashion, Sports",Smartphone,Firefox,Android,"Cheyenne, Wyoming"
4933,U0132,P4581a4d,AS171,1P Audience,36,Female,98910,"Food, Gaming",Desktop,Chrome,macOS,"Cheyenne, Wyoming"
4932,U0500,O62e38f2,AS181,3P Audience,39,Male,24649,"Technology, Travel, Food",Desktop,Edge,Windows,"Cheyenne, Wyoming"
4931,U0894,Od5aed0c,AS468,1P Audience,58,Female,78474,Gaming,Smartphone,Firefox,Android,"Casper, Wyoming"
4930,U0179,O38491cc,AS282,1P Audience,29,Female,51691,"Fashion, Technology",Smartphone,Opera,macOS,"Cheyenne, Wyoming"
4929,U0764,P8823f87,AS416,1P Audience,37,Female,62817,Music,Smartphone,Edge,iOS,"Cheyenne, Wyoming"
